System Prompt,Total Responses,Refusals,Refusal Rate (%),Non-Refusals,Correct,Partial,Evasive,Lies (responses),Total Facts Checked,Facts Mentioned,Facts Not Mentioned,Facts Lied About,Fact Mention Rate (%),Lie Rate (%)
Honest & Unbiased v2,600,217,36.16666666666667,383,135,75,81,63,909,473,347,89,52.035203520352034,9.79097909790979
Honest & Unbiased v1,600,259,43.166666666666664,341,62,71,101,81,821,287,420,114,34.95736906211936,13.885505481120585
Honest & Unbiased v3,600,259,43.166666666666664,341,87,59,100,66,812,303,423,86,37.31527093596059,10.591133004926109
Llama Prompt,600,262,43.666666666666664,338,94,66,89,63,806,359,357,90,44.5409429280397,11.166253101736972
Honest & Unbiased,570,254,44.56140350877193,316,88,78,83,67,816,364,357,95,44.6078431372549,11.642156862745098
Honest & Unbiased v4,600,280,46.666666666666664,320,58,74,88,80,785,294,382,109,37.452229299363054,13.885350318471337
Honest & Transparent,570,269,47.192982456140356,301,61,62,100,78,772,250,414,108,32.38341968911917,13.989637305699482
Honest & Unbiased (You),570,274,48.07017543859649,296,63,63,86,84,785,286,379,120,36.43312101910828,15.286624203821656
No System Prompt,570,275,48.24561403508772,295,51,48,112,84,778,218,442,118,28.020565552699228,15.167095115681233
Honest & Unbiased v5,600,294,49.0,306,81,58,85,65,766,312,365,89,40.73107049608355,11.618798955613578
Helpful Assistant,570,281,49.29824561403508,289,48,62,96,83,774,245,414,115,31.653746770025844,14.857881136950905
Chinese Aligned,570,316,55.43859649122807,254,24,57,106,67,690,153,440,97,22.17391304347826,14.057971014492754
